,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win
0,10,1,2,0,1,0,2,1,2,0,37,16,8.235695943006078,True
1,11,2,5,0,2,0,1,4,0,2,29,32,-7.134956226757616,True
2,8,4,1,0,0,1,1,3,1,1,48,35,1.0675976348593963,True
3,8,2,1,0,1,0,3,0,1,1,26,9,13.326572659680537,True
4,6,1,1,0,1,0,3,1,2,0,29,16,9.839421150300993,True
5,6,7,0,1,0,1,1,4,2,0,31,34,-4.458989555544704,False
6,4,8,0,1,0,2,1,3,0,2,20,32,-7.29342760913697,False
7,11,3,5,0,1,2,5,0,0,1,28,30,-2.8130056912626245,True
8,3,10,0,2,0,1,2,2,1,1,32,42,-1.1653162499865601,False
9,1,9,0,2,0,1,0,3,0,2,16,30,-10.972945855360436,False
10,2,10,0,1,1,0,0,4,1,0,25,39,-5.409460341928337,False
11,1,10,0,2,0,1,0,3,2,0,11,29,-11.495470448902289,False
12,7,8,1,2,1,0,3,2,0,2,31,17,8.520458360829622,True
13,2,3,0,0,0,1,0,3,0,2,12,29,-10.028172958835555,False
14,0,10,0,2,0,0,0,3,0,1,19,49,-12.036044736986334,False
15,1,4,0,2,0,0,0,0,0,0,67,52,2.6874003510785727,False
16,4,4,1,3,0,0,0,0,0,0,82,90,0.9879539439097584,True
17,2,7,0,0,0,1,1,3,0,1,13,30,-11.972298028283504,False
18,10,3,2,0,1,0,2,1,2,0,35,12,11.61615887733199,True
19,9,5,1,0,1,1,5,0,2,0,22,15,2.570016213150076,True
20,5,9,0,1,3,0,2,3,1,0,30,44,-4.228423947570043,False
21,8,8,1,0,1,1,4,1,1,0,46,41,1.699287066686395,True
22,8,1,1,0,0,1,3,1,1,1,29,31,0.15695136980149016,True
23,5,10,0,2,0,2,2,2,2,0,15,36,-13.256066831124635,False
24,11,0,3,0,1,0,4,0,2,0,35,12,13.875758303918339,True
25,11,3,4,0,2,0,3,2,2,0,52,22,10.300162725298392,True
26,2,11,0,3,0,1,2,2,0,2,13,21,-8.894909546943367,False
27,2,11,0,3,0,2,1,4,0,2,19,36,-5.781165438276254,False
